Num,Symbol,LTP,Change,High,Low,Open,Qty,Turnover
1,ACLBSL,720,1,722,700,711,247,"176,791.50"
2,ADBL,312,-1,315,311,312,16382,"5,113,726.40"
3,AHPC,273,0,277,270,275,23219,"6,302,353.60"
4,AIL,409,-1,412,407,407,5684,"2,322,068.00"
5,AKJCL,171,0,173,171,172,14581,"2,506,644.50"
6,AKPL,346,-1,351,345,350,16218,"5,630,781.30"
7,ALBSL,910,-1,921,910,916,833,"762,184.00"
8,ALICL,520,0,530,511,511,9158,"4,745,026.60"
9,API,211,-1,214,209,212,37374,"7,878,940.80"
10,AVYAN,706,0,710,702,702,1460,"1,030,060.00"
11,BARUN,205,-2,210,200,210,22484,"4,572,425.90"
12,BBC,3250,0,3250,3200,3200,285,"917,000.00"
13,BFC,311,0,313,309,310,2237,"694,751.00"
14,BHDC,343,1,345,338,338,4664,"1,597,911.00"
15,BHL,250,2,251,241,241,1335,"330,215.00"
16,BNHC,336,-2,342,335,337,490,"166,263.00"
17,BNT,12799,-1,12830,12600,12677,80,"1,019,180.00"
18,BOKD86,750,1,750,750,750,25,"18,750.00"
19,BPCL,308,0,312,305,308,5696,"1,742,662.60"
20,CBBL,1114,-1,1118,1102,1115,7180,"7,992,376.10"
21,CBL,221,0,222,220,222,20913,"4,611,687.00"
22,CCBD88,850,0,850,850,850,25,"21,250.00"
23,CCBL,187,0,189,186,187,17497,"3,274,972.20"
24,CFCL,305,0,310,304,305,5725,"1,760,035.80"
25,CGH,1002,0,1010,995,1000,476,"476,732.00"
26,CHCL,387,-1,391,383,391,6364,"2,461,158.10"
27,CHDC,656,-1,670,648,648,3176,"2,097,302.00"
28,CHL,212,1,214,209,210,1263,"265,310.50"
29,CIT,1882,-1,1928,1871,1928,4654,"8,763,157.20"
30,CLBSL,780,-1,800,766,769,935,"725,202.00"
31,CMF1,8,6,8,7,7,4200,"32,983.00"
32,CMF2,8,0,8,8,8,540,"4,509.00"
33,CORBL,275,-2,280,274,275,3700,"1,026,139.00"
34,CZBIL,182,0,184,181,183,14558,"2,647,464.70"
35,DDBL,1024,2,1025,1000,1010,6003,"6,087,403.00"
36,DHPL,179,0,181,173,178,3577,"632,354.00"
37,DLBS,348,8,348,328,328,47,"16,000.30"
38,DORDI,240,-2,241,235,240,3210,"764,867.50"
39,EBL,453,-2,460,452,455,11869,"5,403,265.20"
40,EDBL,309,0,310,304,306,4944,"1,516,912.80"
41,ENL,581,0,593,575,576,785,"452,374.00"
42,FMDBL,700,0,710,690,703,10835,"7,603,007.00"
